[2021-09-28 16:16:32] [INFO] [common.py:74] <module>: Initializing the common module.
[2021-09-28 16:16:32] [INFO] [common.py:134] <module>: Changing the recursion limit from 1000 to 1000000 at the user's request.
[2021-09-28 16:16:32] [INFO] [project.py:33] <module>: Loading libclang from "/usr/lib/x86_64-linux-gnu/libclang-10.so.1".
[2021-09-28 16:16:32] [INFO] [project.py:42] <module>: Loaded libclang successfully.
[2021-09-28 16:16:32] [INFO] [database.py:34] __init__: Connecting to the database with the following configurations: {'host': '127.0.0.1', 'port': '3306', 'user': 'admin', 'password': '', 'database': 'software', 'sql_mode': 'ONLY_FULL_GROUP_BY,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'}
[2021-09-28 16:16:32] [INFO] [database.py:42] __init__: Autocommit is False.
[2021-09-28 16:16:32] [INFO] [insert_alerts_in_database.py:40] insert_alerts_in_database: Found the following SATs: {'Cppcheck': 1, 'Flawfinder': 2}
[2021-09-28 16:16:32] [INFO] [project.py:119] get_project_list_from_config: Ignoring the project "Glibc" (glibc).
[2021-09-28 16:16:32] [INFO] [project.py:119] get_project_list_from_config: Ignoring the project "Apache HTTP Server" (apache).
[2021-09-28 16:16:32] [INFO] [project.py:119] get_project_list_from_config: Ignoring the project "Xen" (xen).
[2021-09-28 16:16:32] [INFO] [project.py:126] get_project_list_from_config: Loading the project "Linux Kernel" (kernel) with the following configurations: {'short_name': 'kernel', 'database_id': 2, 'database_name': 'kernel', 'github_data_name': 'linux', 'vendor_id': 33, 'product_id': 47, 'url_pattern': 'linux|kernel|redhat', 'master_branch': 'master', 'language': 'c', 'include_directory_path': 'include', 'repository_path': '/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/linux', 'output_directory_path': 'output/final', 'scrape_all_branches': False}
[2021-09-28 16:16:32] [INFO] [project.py:87] __init__: Loaded the project "Linux Kernel" located in "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/linux".
[2021-09-28 16:16:32] [INFO] [project.py:119] get_project_list_from_config: Ignoring the project "Mozilla" (mozilla).
[2021-09-28 16:16:33] [INFO] [sats.py:224] __init__: Loaded Cppcheck version 1.90.
[2021-09-28 16:16:33] [INFO] [sats.py:335] __init__: Loaded Flawfinder version 2.0.10.
[2021-09-28 16:16:33] [INFO] [sats.py:105] get_sat_info_from_config: Ignoring the SAT "Cppcheck".
[2021-09-28 16:16:33] [INFO] [insert_alerts_in_database.py:95] insert_alerts_in_database: Starting the insertion of 1459 CSV alert files.
[2021-09-29 10:07:50] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 31 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/current_commit/part1/flawfinder-82-600ddd6825543962fb807884169e57b580dba208.csv.zip" (after).
[2021-09-29 11:03:19] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 32 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/previous_commit/part1/flawfinder-666-f151cd2c54ddc7714e2f740681350476cda03a28-1.csv.zip" (before).
[2021-09-29 11:26:37] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 33 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/current_commit/part1/flawfinder-815-0d3d077cd4f1154e63a9858e47fe3fb1ad0c03e5.csv.zip" (after).
[2021-09-29 11:36:15] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 34 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/previous_commit/part1/flawfinder-665-0083fc2c50e6c5127c2802ad323adf8143ab7856-1.csv.zip" (before).
[2021-09-29 11:59:37] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 35 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/current_commit/part1/flawfinder-814-0f3f2328f63c521fe4b435f148687452f98b2349.csv.zip" (after).
[2021-09-29 12:00:13] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 36 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/previous_commit/part1/flawfinder-664-fcc6cb0c13555e78c2d47257b6d1b5e59b0c419a-1.csv.zip" (before).
[2021-09-29 12:23:51] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 37 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/current_commit/part1/flawfinder-813-9ef1d4c7c7aca1cd436612b6ca785b726ffb8ed8.csv.zip" (after).
[2021-09-29 12:33:51] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 38 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/previous_commit/part1/flawfinder-663-690e744869f3262855b83b4fb59199cf142765b0-1.csv.zip" (before).
[2021-09-29 12:59:35] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 39 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/current_commit/part1/flawfinder-812-3408cce0c2f380884070896420ca566704452fb5.csv.zip" (after).
[2021-09-29 13:00:10] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 40 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/previous_commit/part1/flawfinder-662-5c58ceff103d8a654f24769bb1baaf84a841b0cc-1.csv.zip" (before).
