CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Advisory Info,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2007-5000,https://www.cvedetails.com/cve/CVE-2007-5000,2007-12-13,2018-10-30,4.3,None,Partial,None,Medium,Not required,None,"[""Cross Site Scripting""]",79,"{""Http Server"": [""1.3.0"", ""1.3.1"", ""1.3.4"", ""1.3.5"", ""1.3.6"", ""1.3.7"", ""1.3.8"", ""1.3.9"", ""1.3.11"", ""1.3.12"", ""1.3.22"", ""1.3.23"", ""1.3.24"", ""1.3.25"", ""1.3.26"", ""1.3.27"", ""1.3.28"", ""1.3.29"", ""1.3.30"", ""1.3.31"", ""1.3.32"", ""1.3.33"", ""1.3.37"", ""2.0.35"", ""2.0.36"", ""2.0.37"", ""2.0.38"", ""2.0.39"", ""2.0.40"", ""2.0.41"", ""2.0.42"", ""2.0.43"", ""2.0.44"", ""2.0.45"", ""2.0.46"", ""2.0.47"", ""2.0.48"", ""2.0.49"", ""2.0.50"", ""2.0.51"", ""2.0.52"", ""2.0.53"", ""2.0.54"", ""2.0.55"", ""2.0.56"", ""2.0.57"", ""2.0.58"", ""2.0.59"", ""2.0.60"", ""2.0.61"", ""2.2"", ""2.2.1"", ""2.2.2"", ""2.2.3"", ""2.2.4"", ""2.2.6""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_22.html"", ""https://httpd.apache.org/security/vulnerabilities_20.html"", ""https://httpd.apache.org/security/vulnerabilities_13.html""]","[""APACHE-2.2"", ""APACHE-2.0"", ""APACHE-1.3""]",,,,,
CVE-2007-6422,https://www.cvedetails.com/cve/CVE-2007-6422,2008-01-08,2018-10-30,4.0,None,None,Partial,Low,Single system,None,"[""Denial Of Service""]",399,"{""Http Server"": [""2.2"", ""2.2.1"", ""2.2.2"", ""2.2.3"", ""2.2.4"", ""2.2.6""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_22.html""]","[""APACHE-2.2""]",,,,,
CVE-2007-1349,https://www.cvedetails.com/cve/CVE-2007-1349,2007-03-29,2017-10-10,4.3,None,None,Partial,Medium,Not required,None,"[""Denial Of Service""]",399,"{""Http Server"": []}",,,,,,,,,
CVE-2007-5461,https://www.cvedetails.com/cve/CVE-2007-5461,2007-10-15,2018-10-15,3.5,Partial,None,None,Medium,Single system,None,"[""Directory traversal""]",22,,,,,,,,,,
CVE-2007-1862,https://www.cvedetails.com/cve/CVE-2007-1862,2007-06-04,2013-10-10,5.0,Partial,None,None,Low,Not required,None,"[""Obtain Information""]",,"{""Http Server"": [""2.2.4""]}","[""https://issues.apache.org/bugzilla/show_bug.cgi?id=41551""]","[""41551""]","[""https://httpd.apache.org/security/vulnerabilities_22.html""]","[""APACHE-2.2""]",,,,,
CVE-2007-1358,https://www.cvedetails.com/cve/CVE-2007-1358,2007-05-09,2018-10-16,2.6,None,Partial,None,High,Not required,None,"[""Cross Site Scripting""]",79,,,,,,,,,,
CVE-2010-4172,https://www.cvedetails.com/cve/CVE-2010-4172,2010-11-26,2018-10-10,4.3,None,Partial,None,Medium,Not required,None,"[""Cross Site Scripting""]",79,,,,,,,,,"[""https://svn.apache.org/viewvc?view=revision&revision=1037778"", ""https://svn.apache.org/viewvc?view=revision&revision=1037779""]","[""1037778"", ""1037779""]"
CVE-2010-1587,https://www.cvedetails.com/cve/CVE-2010-1587,2010-04-28,2018-10-10,5.0,Partial,None,None,Low,Not required,None,,20,,,,,,,,,,
CVE-2010-2234,https://www.cvedetails.com/cve/CVE-2010-2234,2010-08-19,2018-10-10,6.8,Partial,Partial,Partial,Medium,Not required,None,"[""CSRF""]",352,,,,,,,,,,
CVE-2010-1151,https://www.cvedetails.com/cve/CVE-2010-1151,2010-04-20,2010-05-27,6.8,Partial,Partial,Partial,Medium,Not required,None,"[""Bypass a restriction or similar""]",362,,,,,,,,,,
CVE-2010-2086,https://www.cvedetails.com/cve/CVE-2010-2086,2010-05-27,2010-05-28,4.0,Partial,Partial,None,High,Not required,None,"[""Cross Site Scripting""]",79,,,,,,,,,,
CVE-2009-5005,https://www.cvedetails.com/cve/CVE-2009-5005,2010-10-18,2010-10-18,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",,,,,,,,,,"[""https://svn.apache.org/viewvc?revision=785788&view=revision""]","[""785788""]"
CVE-2012-2149,https://www.cvedetails.com/cve/CVE-2012-2149,2012-06-21,2016-08-17,7.5,Partial,Partial,Partial,Low,Not required,None,"[""Execute Code"", ""Overflow""]",189,,,,,,,,,,
CVE-2012-0803,https://www.cvedetails.com/cve/CVE-2012-0803,2017-08-08,2017-08-24,7.5,Partial,Partial,Partial,Low,Not required,None,"[""Bypass a restriction or similar""]",287,,,,,,,,,"[""https://svn.apache.org/viewvc?view=revision&revision=1233457""]","[""1233457""]"
CVE-2012-1621,https://www.cvedetails.com/cve/CVE-2012-1621,2014-06-19,2018-05-18,4.3,None,Partial,None,Medium,Not required,None,"[""Cross Site Scripting""]",79,,,,,,,,,,
CVE-2012-3546,https://www.cvedetails.com/cve/CVE-2012-3546,2012-12-19,2017-09-18,4.3,None,Partial,None,Medium,Not required,None,"[""Bypass a restriction or similar""]",264,,,,,,,,,"[""https://svn.apache.org/viewvc/tomcat/tc7.0.x/trunk/webapps/docs/changelog.xml?r1=1377892&r2=1377891&pathrev=1377892"", ""https://svn.apache.org/viewvc/tomcat/tc7.0.x/trunk/java/org/apache/catalina/realm/RealmBase.java?r1=1377892&r2=1377891&pathrev=1377892"", ""https://svn.apache.org/viewvc?view=revision&revision=1377892""]","[""1377892"", ""1377892"", ""1377892""]"
CVE-2012-2380,https://www.cvedetails.com/cve/CVE-2012-2380,2012-06-26,2013-10-04,6.8,Partial,Partial,Partial,Medium,Not required,None,"[""CSRF""]",352,,,,,,,,,,
CVE-2012-3506,https://www.cvedetails.com/cve/CVE-2012-3506,2012-10-25,2018-05-18,10.0,Complete,Complete,Complete,Low,Not required,None,,,,,,,,,,,,
