Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Function,libresolv_hidden_def(),resolv\res_send.c,,,,23,219,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,273,18,145,20,114,27,77,10,18.0,8642.0,4.0,64.0,90,6,1,83,31.0,31.0,46.0,18.0,38.0,,,,,38.0,,4,36.0,,0.19,,,,
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Function,libresolv_hidden_def(),resolv\res_send.c,,,,3,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,18,3,9,6,4,6,0,0,1.0,2.0,0.0,2.0,3,0,0,3,2.0,2.0,3.0,1.0,1.0,,,,,0.0,,1,0.0,,0.67,,,,
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Union,querybuf,resolv\nss_dns\dns-host.c,0.0,0.0,0.0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5,0,5,3,0,0,0,0,,,,,2,2,0,0,,,,,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Static Function,"reopen(res_state,int *,int)",resolv\res_send.c,,,,3,30,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,45,3,30,6,21,12,0,0,11.0,13.0,1.0,14.0,20,2,0,18,7.0,7.0,8.0,4.0,5.0,,,,,4.0,,3,4.0,,0.4,,,,
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Function,"res_ourserver_p(const res_state,const struct sockaddr_in6 *)",resolv\res_send.c,,,,3,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,35,3,32,12,23,0,0,0,3.0,7.0,1.0,13.0,19,6,0,13,7.0,7.0,13.0,7.0,10.0,,,,,10.0,,3,10.0,,0.0,,,,
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,File,res_query.c,resolv\res_query.c,4.0,42.0,14.0,46,453,179,7.0,7.0,12.0,4.0,57.0,4.0,40.0,14.0,,,,0.0,,,,,,6.0,,,,,,,,,,,,,,652,46,395,83,257,179,24,35,,,,164.0,237,35,4,198,,,,,,27.0,25.0,54.0,14.0,,,4,,,0.45,44.0,42.0,74.0,28.0
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,File,res_send.c,resolv\res_send.c,5.0,60.0,13.0,108,1040,447,11.0,11.0,16.0,6.0,77.0,4.0,54.0,12.0,,,,0.0,,,,,,16.0,,,,,,,,,,,,,,1587,99,878,174,646,436,125,58,,,,427.0,579,100,1,478,,,,,,61.0,61.0,102.0,39.0,,,5,,,0.5,174.0,174.0,259.0,111.0
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Static Function,"send_dg(res_state,const u_char *,int,const u_char *,int,u_char **,int *,int *,int,int *,int *,u_char **,u_char **,int *,int *,int *)",resolv\res_send.c,,,,17,349,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,440,17,335,36,260,73,5,12,41.0,27136204.0,7.0,157.0,209,28,0,181,61.0,61.0,102.0,39.0,251.0,,,,,242.0,,5,242.0,,0.22,,,,
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Static Function,"send_vc(res_state,const u_char *,int,const u_char *,int,u_char **,int *,int *,int,u_char **,u_char **,int *,int *,int *)",resolv\res_send.c,,,,13,183,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,254,13,183,33,142,58,0,0,28.0,58380.0,5.0,107.0,134,23,0,111,32.0,32.0,45.0,19.0,37.0,,,,,35.0,,3,33.0,,0.32,,,,
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Static Function,"sock_eq(struct sockaddr_in6 *,struct sockaddr_in6 *)",resolv\res_send.c,,,,0,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,23,0,23,10,18,1,0,0,3.0,4.0,1.0,6.0,9,1,0,8,4.0,4.0,8.0,3.0,3.0,,,,,3.0,,2,3.0,,0.04,,,,
Yes,f7a9f785e547bd599dee496fd906a28bcb4ec7fe,Function,"_nss_dns_gethostbyname4_r(const char *,struct gaih_addrtuple **,char *,size_t,int *,int *,int32_t *)",nss_dns\dns-host.c,,,,7,67,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,82,7,67,21,46,8,0,0,12.0,109.0,2.0,31.0,44,13,0,31,13.0,9.0,13.0,6.0,7.0,,,,,6.0,,2,6.0,,0.12,,,,
Yes,f7a9f785e547bd599dee496fd906a28bcb4ec7fe,Function,"_nss_dns_gethostbyname_r(const char *,struct hostent *,char *,size_t,int *,int *)",nss_dns\dns-host.c,,,,2,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,16,2,14,5,8,0,0,0,2.0,4.0,1.0,4.0,6,1,0,5,3.0,3.0,3.0,1.0,0.0,,,,,0.0,,1,0.0,,0.0,,,,
Yes,f7a9f785e547bd599dee496fd906a28bcb4ec7fe,Static Function,"addrsort(char **,int)",nss_dns\dns-host.c,,,,4,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,41,4,37,8,25,0,0,0,1.0,70.0,2.0,24.0,33,5,0,28,10.0,10.0,12.0,8.0,6.0,,,,,6.0,,3,4.0,,0.0,,,,
Yes,f7a9f785e547bd599dee496fd906a28bcb4ec7fe,File,dns-host.c,nss_dns\dns-host.c,11.0,91.0,11.0,133,967,180,17.0,15.0,22.0,10.0,109.0,11.0,88.0,10.0,,,,0.0,,,,,,10.0,,,,,,,,,,,,,,1250,133,919,202,622,178,19,34,,,,471.0,633,111,0,522,,,,,,63.0,59.0,89.0,48.0,,,4,,,0.19,165.0,150.0,224.0,109.0
Yes,f7a9f785e547bd599dee496fd906a28bcb4ec7fe,Static Function,"gaih_getanswer(const querybuf *,int,const querybuf *,int,const char *,struct gaih_addrtuple **,char *,size_t,int *,int *,int32_t *)",nss_dns\dns-host.c,,,,3,27,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,36,3,27,11,18,6,0,0,2.0,6.0,1.0,6.0,9,3,0,6,4.0,4.0,11.0,1.0,0.0,,,,,0.0,,2,0.0,,0.22,,,,
Yes,f7a9f785e547bd599dee496fd906a28bcb4ec7fe,Static Function,"gaih_getanswer_slice(const querybuf *,int,const char *,struct gaih_addrtuple ***,char **,size_t *,int *,int *,int32_t *,int *)",nss_dns\dns-host.c,,,,31,186,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,234,31,178,31,128,22,6,3,27.0,511498.0,6.0,94.0,121,20,0,101,32.0,32.0,48.0,22.0,58.0,,,,,58.0,,4,58.0,,0.12,,,,
Yes,f7a9f785e547bd599dee496fd906a28bcb4ec7fe,Static Function,"getanswer_r(const querybuf *,int,const char *,int,struct hostent *,char *,size_t,int *,int *,int,int32_t *,char **)",nss_dns\dns-host.c,,,,29,323,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,383,29,321,30,233,53,0,2,27.0,999999999.0,9.0,177.0,239,19,0,220,63.0,59.0,89.0,48.0,192.0,,,,,192.0,,4,192.0,,0.17,,,,
Yes,f7a9f785e547bd599dee496fd906a28bcb4ec7fe,Function,hidden_def(),nss_dns\dns-host.c,,,,2,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,11,2,9,6,2,0,0,0,1.0,1.0,0.0,1.0,1,0,0,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
Yes,f7a9f785e547bd599dee496fd906a28bcb4ec7fe,Function,hidden_def(),nss_dns\dns-host.c,,,,2,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,11,2,9,6,2,0,0,0,1.0,1.0,0.0,1.0,1,0,0,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
Yes,f7a9f785e547bd599dee496fd906a28bcb4ec7fe,Function,hidden_proto(enum nss_status),nss_dns\dns-host.c,,,,12,87,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,109,12,87,18,63,10,0,0,12.0,266.0,2.0,45.0,62,10,0,52,17.0,12.0,19.0,9.0,13.0,,,,,12.0,,3,12.0,,0.11,,,,
