Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,SumCountOutput,AvgCountOutput,MaxCountOutput,CountPath,SumCountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,shockwave_plugin.h,Source\shockwave_plugin.h,0,0,0,2,4,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,0,0,0,6,2,1,1,0,0,0,3,,0,0,0,,0,,1,1,1,0,0,,,,,,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0
Static Function,"should_load_group_with_filename(TCHAR **,size_t,TCHAR *)",Source\custom_groups.cpp,,,,4,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,22,4,17,5,10,1,0,0,4,,,,3,,0,10,12,4,0,8,3,3,3,3,2,,,,,2,,2,,,,,2,,0,,,,
Function,skip_leading_whitespace(char *),Source\memory_and_file_io.cpp,,,,1,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,9,1,8,1,3,0,0,0,1,,,,3,,0,2,4,0,0,4,3,3,4,1,0,,,,,0,,2,,,,,0,,0,,,,
Function,skip_leading_whitespace(wchar_t *),Source\memory_and_file_io.cpp,,,,1,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,9,1,8,1,3,0,0,0,1,,,,3,,0,2,4,0,0,4,3,3,4,1,0,,,,,0,,2,,,,,0,,0,,,,
Function,"skip_to_file_extension(TCHAR *,bool,bool)",Source\memory_and_file_io.cpp,,,,4,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,29,4,25,2,12,0,0,0,2,,,,11,,1,7,13,1,0,12,8,8,10,5,4,,,,,4,,4,,,,,4,,0,,,,
Function,"skip_to_last_path_components(TCHAR *,int)",Source\memory_and_file_io.cpp,,,,4,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,26,4,21,5,12,1,0,0,4,,,,5,,1,11,15,4,1,10,5,5,5,5,4,,,,,4,,3,,,,,4,,0,,,,
Function,skip_to_next_string(char *),Source\memory_and_file_io.cpp,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,5,0,5,1,2,0,0,0,1,,,,2,,0,2,3,0,0,3,2,2,2,1,0,,,,,0,,1,,,,,0,,0,,,,
Function,skip_to_next_string(wchar_t *),Source\memory_and_file_io.cpp,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,5,0,5,1,2,0,0,0,1,,,,2,,0,2,3,0,0,3,2,2,2,1,0,,,,,0,,1,,,,,0,,0,,,,
Static Function,skip_to_suboption(TCHAR *),Source\web_cache_exporter.cpp,,,,4,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,18,4,14,2,7,0,0,0,2,,,,4,,1,5,7,1,0,6,4,4,5,1,0,,,,,0,,1,,,,,0,,0,,,,
Function,"string_ends_with(const TCHAR *,const TCHAR *,bool)",Source\memory_and_file_io.cpp,,,,1,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,9,1,8,4,5,0,0,0,3,,,,2,,0,5,6,3,0,3,2,2,2,1,1,,,,,0,,1,,,,,0,,0,,,,
