Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Struct,PositionComparator,base/nsDocument.cpp,0,5,0,1,15,0,2,2,2,2,5,0,5,0,0,2,0,0,0,2,1,0,0,1,2,2,1,0,0,0,2,16,1,15,5,6,0,0,0,9,4,0,5,3,3,3,3,0,1,0,0,4,4,4,4
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Struct,SubDocEnumArgs,base/nsDocument.cpp,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,5,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Class,SubDocMapEntry,base/nsDocument.cpp,0,0,0,0,6,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,7,0,6,3,0,2,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Struct,SuppressArgs,base/nsDocument.cpp,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,5,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Struct,UnsuppressArgs,base/nsDocument.cpp,0,4,0,1,9,0,1,1,1,1,4,0,4,0,0,1,0,0,0,1,3,0,0,2,1,1,0,0,0,0,1,10,1,9,6,0,0,0,0,3,3,0,0,1,1,1,1,0,0,66,0,1,1,1,1
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Class,final,base/nsDocument.cpp,0,4,0,3,12,2,1,1,1,1,4,0,4,0,1,1,0,0,0,3,1,0,1,0,3,3,0,0,0,0,3,16,3,12,5,1,2,0,0,5,4,0,1,1,1,1,1,1,0,66,0,1,1,1,1
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Class,final,base/nsDocument.cpp,0,3,0,0,10,0,1,1,1,1,3,0,3,0,1,0,0,0,0,2,1,0,0,1,2,2,0,0,1,0,1,10,0,10,6,1,0,0,0,4,3,0,1,1,1,1,1,1,0,100,0,2,2,2,2
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Class,mozilla::FullscreenRoots,base/nsDocument.cpp,0,9,0,9,87,19,2,2,2,1,9,0,9,0,0,2,0,6,1,2,1,1,0,0,8,8,0,0,4,0,4,115,9,87,33,33,19,0,0,48,18,0,30,4,4,5,4,0,2,43,0,18,18,20,11
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Class,mozilla::final,events/EventStateManager.cpp,0,1,0,0,10,0,1,1,1,1,1,0,1,0,1,0,0,0,0,2,2,0,0,2,2,2,0,0,0,0,2,10,0,10,7,0,0,0,0,4,4,0,0,1,1,1,1,1,0,100,0,2,2,2,2
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Class,nsCallExitFullscreen,base/nsDocument.cpp,0,5,0,2,17,0,1,1,1,1,5,0,5,0,1,2,0,0,0,2,1,1,0,0,2,2,0,0,0,0,2,19,2,17,5,5,0,0,0,7,3,0,4,2,2,2,1,1,1,0,0,3,3,3,2
No,90aa942f6fbdcbf1a65abc51c379a9bcbb10be94,Class,nsCallRequestFullScreen,base/nsDocument.cpp,0,3,0,2,12,0,1,1,1,1,3,0,3,0,1,1,0,0,0,2,1,0,0,1,2,2,0,0,0,0,2,14,2,12,5,2,0,0,0,5,3,0,2,1,1,1,1,1,0,0,0,2,2,2,2
