Vulnerable,Git Commit Hash,Kind,Name,File,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Function,"floor1_interpolate_fit(vorbis_block *,vorbis_look_floor1 *,int *,int *,int)",lib\vorbis_floor1.c,4,15,1,6,20,4,15,6,8,1,0,0,2,4,1,9,12,3,0,9,4,4,6,1,0,0,3,0,0
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,"floor1_inverse1(vorbis_block *,vorbis_look_floor *)",lib\vorbis_floor1.c,13,68,4,18,85,13,68,22,54,4,0,0,6,79,2,41,53,17,0,36,14,14,14,8,20,18,5,16,0
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,"floor1_inverse2(vorbis_block *,vorbis_look_floor *,void *,float *)",lib\vorbis_floor1.c,6,31,4,14,40,6,31,13,24,4,0,0,3,7,1,26,30,11,0,19,9,9,9,1,1,0,3,0,0
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,"floor1_look(vorbis_dsp_state *,vorbis_info_floor *)",lib\vorbis_floor1.c,9,52,17,8,74,9,52,12,43,17,0,0,10,960,3,49,63,10,0,53,14,11,16,1,6,0,3,0,0
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,"floor1_pack(vorbis_info_floor *,oggpack_buffer *)",lib\vorbis_floor1.c,4,28,8,10,35,4,28,7,21,8,0,0,2,45,2,28,35,6,1,28,8,8,8,1,0,0,2,0,0
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,"floor1_unpack(vorbis_info *,oggpack_buffer *)",lib\vorbis_floor1.c,8,49,10,11,62,8,49,6,38,10,0,0,13,6000,4,43,59,5,1,53,17,17,20,14,30,30,3,30,0
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,"icomp(const void *,const void *)",lib\vorbis_floor1.c,0,3,0,2,3,0,3,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,ilog(unsigned int),lib\vorbis_floor1.c,0,8,0,3,8,0,8,2,5,0,0,0,1,2,0,4,5,1,0,4,2,2,2,1,0,0,1,0,0
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,ilog2(unsigned int),lib\vorbis_floor1.c,0,9,0,2,9,0,9,2,6,0,0,0,1,4,1,5,7,1,0,6,3,3,3,1,0,0,1,0,0
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,"inspect_error(int,int,int,int,const float *,const float *,vorbis_info_floor1 *)",lib\vorbis_floor1.c,5,45,0,12,50,5,45,14,36,0,0,0,3,66,2,30,42,11,0,31,14,14,14,12,18,18,4,17,0
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,"post_Y(int *,int *,int)",lib\vorbis_floor1.c,1,7,0,4,8,1,7,1,5,0,0,0,1,3,0,3,5,0,0,5,3,3,3,3,2,2,1,2,0
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,"render_line(int,int,int,int,int,float *)",lib\vorbis_floor1.c,4,24,0,7,28,4,24,9,20,0,0,0,1,12,1,16,20,8,0,12,6,6,6,1,1,0,2,0,0
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,"render_line0(int,int,int,int,int,int *)",lib\vorbis_floor1.c,4,24,0,6,28,4,24,9,20,0,0,0,2,12,1,16,20,8,0,12,6,6,6,1,1,0,2,0,0
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,"render_point(int,int,int,int,int)",lib\vorbis_floor1.c,2,13,1,8,15,2,13,6,9,1,0,0,2,2,0,9,10,5,0,5,2,2,2,1,1,0,1,0,0
Yes,8df09d9afc90dfa5fcacdceccef2556b1e98cd92,Static Function,vorbis_dBquant(const float *),lib\vorbis_floor1.c,0,6,0,3,6,0,6,2,4,0,0,0,1,3,0,4,6,1,0,5,3,3,3,3,2,2,1,2,0
No,65bfe783c94e2c80dda3ef5999dedbe4108c947d,Public Function,"nsDSURIContentListener::CanHandleContent(const char *,bool,char **,bool *)",base\nsDSURIContentListener.cpp,3,20,0,6,23,3,20,7,12,0,0,0,7,2,0,9,10,2,0,8,2,2,2,1,0,0,1,0,0
No,65bfe783c94e2c80dda3ef5999dedbe4108c947d,Protected Function,nsDSURIContentListener::CheckFrameOptions(nsIRequest *),base\nsDSURIContentListener.cpp,6,39,5,3,50,6,39,9,24,5,0,0,16,16,1,18,27,8,0,19,10,10,10,8,8,8,4,8,0
No,65bfe783c94e2c80dda3ef5999dedbe4108c947d,Protected Function,"nsDSURIContentListener::CheckOneFrameOptionsPolicy(nsIHttpChannel *,const nsAString &)",base\nsDSURIContentListener.cpp,17,87,28,4,131,17,87,20,63,28,0,0,23,138,2,42,59,14,0,45,18,18,25,17,25,24,3,23,0
No,65bfe783c94e2c80dda3ef5999dedbe4108c947d,Public Function,"nsDSURIContentListener::DoContent(const char *,bool,nsIRequest *,nsIStreamListener **,bool *)",base\nsDSURIContentListener.cpp,11,39,6,7,56,11,39,10,24,6,0,0,14,17,1,19,25,4,0,21,8,8,8,4,3,3,1,3,0
No,65bfe783c94e2c80dda3ef5999dedbe4108c947d,Protected Function,nsDSURIContentListener::DropDocShellreference(),base\nsDSURIContentListener.h,0,3,0,0,3,0,3,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
No,65bfe783c94e2c80dda3ef5999dedbe4108c947d,Public Function,nsDSURIContentListener::GetLoadCookie(nsISupports **),base\nsDSURIContentListener.cpp,0,6,0,1,6,0,6,2,2,0,0,0,4,1,0,2,2,0,0,2,1,1,1,1,0,0,0,0,0
No,65bfe783c94e2c80dda3ef5999dedbe4108c947d,Public Function,nsDSURIContentListener::GetParentContentListener(nsIURIContentListener **),base\nsDSURIContentListener.cpp,0,17,0,3,17,0,17,5,9,0,0,0,4,2,0,6,7,1,0,6,2,2,2,1,1,0,1,0,0
No,65bfe783c94e2c80dda3ef5999dedbe4108c947d,Public Function,nsDSURIContentListener::Init(),base\nsDSURIContentListener.cpp,0,8,0,0,8,0,8,3,3,0,0,0,5,1,0,4,4,1,0,3,1,1,1,1,0,0,0,0,0
No,65bfe783c94e2c80dda3ef5999dedbe4108c947d,Public Function,"nsDSURIContentListener::IsPreferred(const char *,char **,bool *)",base\nsDSURIContentListener.cpp,2,19,13,3,34,2,19,5,11,13,0,0,6,2,0,6,7,1,0,6,2,2,2,1,1,0,1,0,0
