Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
No,54e2292e8df7a1a7b041192be9d6d797b6d00869,File,mm.h,include\asm-x86\mm.h,1,8,1,100,345,208,2,2,2,1,10,1,8,1,0,7,20,1,3,633,98,205,153,32,208,10,138,52,4,7,22,132,143,121,0,22,2,2,3,1,1,8,1,1,5876,1,11,11,13,7
No,54e2292e8df7a1a7b041192be9d6d797b6d00869,File,private.h,arch\x86\mm\shadow\private.h,1,11,1,135,509,228,2,2,3,1,14,1,11,1,0,24,129,5,11,828,135,354,138,158,228,4,154,114,5,15,61,177,228,91,0,137,7,7,10,4,2,12,0,2,1836113,0,51,49,76,31
Yes,19cee44abfdf162a25d86f999d9a50bcfdf468bc,File,private.h,shadow\private.h,1,11,1,135,509,228,2,2,3,1,14,1,11,1,0,24,129,5,11,828,135,354,138,158,228,4,154,114,5,15,61,177,228,91,0,137,7,7,10,4,2,12,0,2,1836113,0,51,49,76,31
Yes,8d7b633adab76a778ccf3e3417e903b35333c528,File,mm.h,asm-x86\mm.h,1,8,1,100,344,208,2,2,2,1,10,1,8,1,0,7,20,1,3,632,98,205,153,32,208,10,137,52,4,7,22,132,143,121,0,22,2,2,3,1,1,8,1,1,5876,1,11,11,13,7
No,c0d98b35714fb707217c9062b6518e158cd72eea,File,vmx.c,arch\x86\hvm\vmx\vmx.c,4,23,4,638,3050,665,5,4,6,2,31,4,23,4,0,122,681,6,29,4304,638,2994,512,2047,665,0,56,931,8,114,12661079,1420,2104,407,3,1694,140,68,151,70,6,136,1,6,4778368645,0,647,469,734,309
No,c0d98b35714fb707217c9062b6518e158cd72eea,File,vmx.h,include\asm-x86\hvm\vmx\vmx.h,1,11,1,77,553,138,1,1,1,1,12,1,9,1,0,23,50,2,6,686,77,344,179,37,138,14,196,32,1,3,31,112,142,101,10,31,3,3,3,1,1,4,0,1,1662,0,30,30,31,23
No,c0d98b35714fb707217c9062b6518e158cd72eea,File,vvmx.c,arch\x86\hvm\vmx\vvmx.c,3,21,2,385,2026,232,4,3,5,2,26,3,21,2,0,89,475,5,28,2640,385,2007,439,1407,232,0,19,573,6,30,760,985,1378,317,0,1061,88,46,89,26,5,81,1,5,66233628,0,394,310,429,188
Yes,451004603247205467ec34b366b4cfa3814a5d95,File,vmx.c,vmx\vmx.c,4,23,4,634,3053,665,5,4,6,2,31,4,23,4,0,122,667,5,29,4303,634,2997,516,2050,665,0,56,936,8,114,12661079,1423,2107,411,3,1693,140,68,151,70,6,136,1,6,4778232950,0,647,469,734,313
Yes,451004603247205467ec34b366b4cfa3814a5d95,File,vvmx.c,vmx\vvmx.c,3,21,2,380,2027,231,4,3,5,2,26,3,21,2,0,89,450,5,28,2635,380,2008,441,1407,231,0,19,575,6,30,746,987,1379,319,0,1060,87,45,88,26,5,81,1,5,43855279,0,393,309,428,188
Yes,5cfbd651da3c30a5137488b06e39803cbaacc2b0,File,vmx.h,vmx\vmx.h,1,11,1,77,542,140,1,1,1,1,12,1,9,1,0,23,50,2,6,679,77,325,160,37,140,14,204,32,1,3,31,105,135,94,10,31,3,3,3,1,1,4,0,1,1662,0,30,30,31,23
