Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Yes,3af450fd2d9403f208d3ac6459716f027b8597ad,Static Function,decode_segment(uint8_t),x86_emulate\x86_emulate.c,,,,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,15,0,15,2,9,0,0,0,1.0,7.0,1.0,8.0,15,0,0,15,7.0,2.0,7.0,1.0,21.0,,,,,0.0,,1,0.0,,0.0,,,,
Yes,3af450fd2d9403f208d3ac6459716f027b8597ad,Static Function,"div_dbl(unsigned long [2],unsigned long)",x86_emulate\x86_emulate.c,,,,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,9,0,9,1,3,0,0,0,1.0,2.0,0.0,3.0,4,0,1,3,2.0,2.0,3.0,1.0,1.0,,,,,0.0,,1,0.0,,0.0,,,,
Yes,3af450fd2d9403f208d3ac6459716f027b8597ad,Static Function,even_parity(uint8_t),x86_emulate\x86_emulate.c,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5,0,5,1,1,0,0,0,1.0,1.0,0.0,2.0,2,0,1,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
Yes,3af450fd2d9403f208d3ac6459716f027b8597ad,Static Function,"fpu_handle_exception(void *,struct cpu_user_regs *)",x86_emulate\x86_emulate.c,,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6,0,6,2,3,0,0,0,2.0,1.0,0.0,3.0,3,1,0,2,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
Yes,3af450fd2d9403f208d3ac6459716f027b8597ad,Struct,fpu_insn_ctxt,x86_emulate\x86_emulate.c,0.0,0.0,0.0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4,0,4,3,0,0,0,0,,,,,2,2,0,0,,,,,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0
Yes,3af450fd2d9403f208d3ac6459716f027b8597ad,Static Function,"get_cpl(struct x86_emulate_ctxt *,const struct x86_emulate_ops *)",x86_emulate\x86_emulate.c,,,,3,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,16,3,13,5,6,0,0,0,2.0,3.0,0.0,4.0,6,1,0,5,3.0,3.0,4.0,3.0,2.0,,,,,2.0,,1,2.0,,0.0,,,,
Yes,3af450fd2d9403f208d3ac6459716f027b8597ad,Static Function,"idiv_dbl(unsigned long [2],unsigned long)",x86_emulate\x86_emulate.c,,,,5,24,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,33,5,24,2,17,5,0,0,2.0,33.0,2.0,9.0,17,1,0,16,10.0,10.0,10.0,6.0,8.0,,,,,8.0,,2,8.0,,0.21,,,,
Yes,3af450fd2d9403f208d3ac6459716f027b8597ad,Static Function,imul_dbl(unsigned long [2]),x86_emulate\x86_emulate.c,,,,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8,0,8,2,1,0,0,0,1.0,1.0,0.0,3.0,3,1,1,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
Yes,3af450fd2d9403f208d3ac6459716f027b8597ad,Static Function,"in_longmode(struct x86_emulate_ctxt *,const struct x86_emulate_ops *)",x86_emulate\x86_emulate.c,,,,2,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,13,2,11,5,4,0,0,0,2.0,2.0,0.0,4.0,5,1,0,4,2.0,2.0,2.0,1.0,1.0,,,,,0.0,,1,0.0,,0.0,,,,
Yes,3af450fd2d9403f208d3ac6459716f027b8597ad,Static Function,"in_protmode(struct x86_emulate_ctxt *,const struct x86_emulate_ops *)",x86_emulate\x86_emulate.c,,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,7,0,7,4,1,0,0,0,2.0,1.0,0.0,1.0,1,0,0,1,1.0,1.0,2.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
