Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
No,4e7c22d447bb6d7e37bfe39ff658486ae78e8d77,File,binfmt_elf.c,fs\binfmt_elf.c,7,50,13,313,1598,438,12,12,14,6,70,7,47,11,0,13,192,7,22,2331,133,623,108,482,229,1254,140,186,7,44,2000247676,403,539,83,0,456,67,66,76,41,4,40,2,4,453730856,0,156,155,176,89
No,4e7c22d447bb6d7e37bfe39ff658486ae78e8d77,File,mmap.c,arch\x86\mm\mmap.c,1,9,1,16,66,42,3,3,3,1,11,1,9,1,0,6,12,2,3,124,16,58,12,34,42,0,8,21,4,7,15,22,37,10,0,27,3,3,3,3,2,7,1,2,2250,0,15,15,16,8
Yes,cc99535eb4049c730cac421d403d079593cb31ae,File,mmap.c,mm\mmap.c,1,9,1,16,66,42,3,3,3,1,11,1,9,1,0,6,12,2,3,124,16,58,12,34,42,0,8,21,4,7,15,22,37,10,0,27,3,3,3,3,2,7,1,2,2250,0,15,15,16,8
Yes,c0222ac086669a631814bbf857f8c8023452a4d7,File,binfmt_elf.c,fs\binfmt_elf.c,7,50,13,313,1597,438,12,12,14,6,70,7,47,11,0,13,192,7,22,2330,133,622,108,481,229,1254,140,186,7,44,2000247676,402,538,83,0,455,67,66,76,41,4,40,2,4,453730856,0,156,155,176,89
No,cabfb3680f78981d26c078a26e5c748531257ebb,File,sess.c,cifs\sess.c,7,38,5,227,1080,190,9,8,9,3,49,7,38,5,0,23,465,10,18,1474,191,879,137,663,156,247,20,538,12,30,65265,563,737,101,0,636,23,23,23,15,4,95,2,4,127526510,0,206,195,215,83
No,cabfb3680f78981d26c078a26e5c748531257ebb,File,smb2pdu.c,cifs\smb2pdu.c,6,34,4,520,2490,387,8,7,8,3,44,6,34,4,0,68,1457,11,27,3327,503,2364,587,1752,378,118,35,1883,14,46,132034,1484,1929,368,0,1561,38,38,43,13,5,242,2,5,957415304,0,513,496,560,204
Yes,da502f7df03d2d0b416775f92ae022f3f82bedd5,File,sess.c,cifs\sess.c,7,38,5,227,1082,190,9,8,9,3,49,7,38,5,0,23,465,10,18,1476,191,881,137,663,156,247,20,538,12,30,65265,563,737,101,0,636,23,23,23,15,4,95,2,4,127526510,0,206,195,215,83
Yes,7fb8986e7449d0a5cebd84d059927afa423fbf85,File,smb2pdu.c,cifs\smb2pdu.c,6,35,4,521,2497,387,8,7,8,3,44,6,34,4,0,68,1457,11,27,3335,504,2371,587,1757,378,118,35,1883,14,46,132034,1488,1934,368,0,1566,38,38,43,13,5,242,2,5,957415304,0,514,497,562,204
No,07f2c7ab6f8d0a7e7c5764c4e6cc9c52951b9d9c,File,sm_make_chunk.c,sctp\sm_make_chunk.c,6,28,7,543,2284,1060,5,4,6,2,40,6,28,7,0,81,1526,9,40,3884,543,2269,566,1558,1060,0,15,1364,8,40,548030,1212,1647,353,0,1294,41,24,41,32,4,200,1,4,1330767680,0,428,361,477,226
Yes,594831a8aba3fd045c3212a3e3bb9788c77b989d,File,sm_make_chunk.c,sctp\sm_make_chunk.c,6,28,7,542,2280,1060,5,4,6,2,40,6,28,7,0,81,1526,9,40,3879,542,2265,565,1555,1060,0,15,1364,8,40,548030,1209,1643,352,0,1291,41,24,41,32,4,200,1,4,1330767680,0,427,360,476,225
No,5d2e73a5f80a5b5aff3caf1ec6d39b5b3f54b26e,File,zr364xx.c,zr364xx\zr364xx.c,4,23,1,241,1261,138,6,6,6,2,28,4,23,1,0,40,660,8,33,1629,237,1193,403,838,138,30,43,672,8,44,26447,680,871,207,13,651,21,21,25,9,4,127,2,4,507558275,0,226,223,242,90
Yes,3e4d8f48b9bfff7585135d096132df9653be9377,File,zr364xx.c,zr364xx\zr364xx.c,4,23,1,241,1260,138,6,6,6,2,28,4,23,1,0,40,660,8,33,1628,237,1192,403,837,138,30,43,672,8,44,26447,680,870,207,13,650,21,21,25,9,4,127,2,4,507558275,0,225,222,241,90
No,0c4df39e504bf925ab666132ac3c98d6cbbe380b,File,technisat-usb2.c,dvb-usb\technisat-usb2.c,5,25,1,156,592,64,5,5,5,2,31,5,25,1,0,17,218,6,26,806,154,527,181,389,63,28,40,209,6,28,586,232,312,80,7,225,10,10,11,6,3,58,2,3,44912774,0,81,77,84,49
Yes,c0decac19da3906d9b66291e57b7759489e1170f,File,technisat-usb2.c,dvb-usb\technisat-usb2.c,5,25,1,156,594,64,5,5,5,2,31,5,25,1,0,17,218,6,26,808,154,529,182,390,63,28,40,209,6,28,586,233,313,81,7,225,10,10,11,6,3,58,2,3,44912774,0,81,77,84,49
No,7d0a06586b2686ba80c4a2da5f91cb10ffbea736,File,recv.c,rds\recv.c,4,29,3,105,581,147,5,5,6,2,36,4,29,3,0,19,384,10,25,832,101,548,94,388,147,27,10,438,12,38,22074,313,407,77,0,330,21,21,24,12,3,58,2,3,195224530,0,102,100,118,55
Yes,3eb450367d0823226515ee24712ed08eccb33eb9,File,recv.c,rds\recv.c,4,29,3,104,579,147,5,5,6,2,36,4,29,3,0,19,384,10,25,829,101,548,94,388,147,24,10,438,12,38,22074,313,407,77,0,330,21,21,24,12,3,58,2,3,195224530,0,102,100,118,55
