Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Yes,d66e6737d454553e1e62109d8298ede5351178a4,Static Function,"crypto_add_alg(struct sk_buff *,struct nlmsghdr *,struct nlattr **)",crypto\crypto_user.c,,,,11,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,51,11,40,7,33,0,0,0,14.0,40.0,2.0,22.0,33,5,0,28,11.0,8.0,12.0,4.0,7.0,,,,,3.0,,1,3.0,,0.0,,,,
Yes,d66e6737d454553e1e62109d8298ede5351178a4,Static Function,"crypto_alg_match(struct crypto_user_alg *,int)",crypto\crypto_user.c,,,,7,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,28,7,21,3,16,0,0,0,6.0,12.0,1.0,10.0,14,2,0,12,5.0,5.0,5.0,1.0,1.0,,,,,0.0,,1,0.0,,0.0,,,,
Yes,d66e6737d454553e1e62109d8298ede5351178a4,Static Function,"crypto_del_alg(struct sk_buff *,struct nlmsghdr *,struct nlattr **)",crypto\crypto_user.c,,,,4,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,23,4,14,4,9,5,0,0,5.0,4.0,1.0,7.0,10,2,0,8,4.0,4.0,4.0,4.0,3.0,,,,,3.0,,1,3.0,,0.36,,,,
Yes,d66e6737d454553e1e62109d8298ede5351178a4,Struct,crypto_dump_info,crypto\crypto_user.c,0.0,0.0,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6,0,6,5,0,0,0,0,,,,,4,4,0,0,,,,,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0
Yes,d66e6737d454553e1e62109d8298ede5351178a4,Static Function,"crypto_dump_report(struct sk_buff *,struct netlink_callback *)",crypto\crypto_user.c,,,,5,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,27,5,22,4,13,0,0,0,8.0,4.0,1.0,13.0,15,3,0,12,3.0,3.0,3.0,3.0,4.0,,,,,3.0,,1,3.0,,0.0,,,,
Yes,d66e6737d454553e1e62109d8298ede5351178a4,Static Function,crypto_dump_report_done(struct netlink_callback *),crypto\crypto_user.c,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4,0,4,1,1,0,0,0,1.0,1.0,0.0,1.0,1,0,0,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
Yes,d66e6737d454553e1e62109d8298ede5351178a4,Struct,crypto_link,crypto\crypto_user.c,0.0,0.0,0.0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5,0,5,4,0,0,0,0,,,,,3,3,0,0,,,,,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0
Yes,d66e6737d454553e1e62109d8298ede5351178a4,Static Function,crypto_netlink_rcv(struct sk_buff *),crypto\crypto_user.c,,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6,0,6,1,3,0,0,0,3.0,1.0,0.0,3.0,3,0,0,3,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
Yes,d66e6737d454553e1e62109d8298ede5351178a4,Static Function,"crypto_report(struct sk_buff *,struct nlmsghdr *,struct nlattr **)",crypto\crypto_user.c,,,,6,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,31,6,25,7,17,0,0,0,11.0,5.0,1.0,17.0,21,5,0,16,5.0,5.0,5.0,5.0,4.0,,,,,4.0,,1,4.0,,0.0,,,,
Yes,d66e6737d454553e1e62109d8298ede5351178a4,Static Function,"crypto_report_alg(struct crypto_alg *,struct crypto_dump_info *)",crypto\crypto_user.c,,,,5,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,29,5,24,7,15,0,0,0,7.0,4.0,1.0,14.0,16,5,0,11,3.0,3.0,3.0,3.0,2.0,,,,,2.0,,1,2.0,,0.0,,,,
Yes,d66e6737d454553e1e62109d8298ede5351178a4,Static Function,"crypto_report_cipher(struct sk_buff *,struct crypto_alg *)",crypto\crypto_user.c,,,,4,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,18,4,14,3,9,0,0,0,6.0,2.0,0.0,8.0,9,1,0,8,2.0,2.0,2.0,1.0,2.0,,,,,0.0,,1,0.0,,0.0,,,,
Yes,d66e6737d454553e1e62109d8298ede5351178a4,Static Function,"crypto_report_comp(struct sk_buff *,struct crypto_alg *)",crypto\crypto_user.c,,,,3,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,14,3,11,3,6,0,0,0,3.0,2.0,0.0,5.0,6,1,0,5,2.0,2.0,2.0,1.0,2.0,,,,,0.0,,1,0.0,,0.0,,,,
Yes,d66e6737d454553e1e62109d8298ede5351178a4,Static Function,"crypto_report_one(struct crypto_alg *,struct crypto_user_alg *,struct sk_buff *)",crypto\crypto_user.c,,,,11,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,51,11,40,4,30,0,0,0,13.0,90.0,2.0,18.0,28,1,0,27,10.0,9.0,11.0,10.0,24.0,,,,,24.0,,2,24.0,,0.0,,,,
Yes,d66e6737d454553e1e62109d8298ede5351178a4,Static Function,"crypto_update_alg(struct sk_buff *,struct nlmsghdr *,struct nlattr **)",crypto\crypto_user.c,,,,8,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,28,8,20,5,15,0,0,0,11.0,4.0,1.0,13.0,16,3,0,13,4.0,4.0,5.0,3.0,2.0,,,,,2.0,,1,2.0,,0.0,,,,
Yes,d66e6737d454553e1e62109d8298ede5351178a4,File,crypto_user.c,crypto\crypto_user.c,5.0,20.0,0.0,112,382,25,4.0,4.0,4.0,3.0,25.0,5.0,20.0,0.0,,,,0.0,,,,,,17.0,,,,,,,,,,,,,,519,112,370,106,247,25,0,12,,,,200.0,273,74,6,193,,,,,,11.0,9.0,12.0,10.0,,,2,,,0.07,71.0,67.0,75.0,56.0
Yes,d66e6737d454553e1e62109d8298ede5351178a4,Static Function,"crypto_user_aead_alg(const char *,u32,u32)",crypto\crypto_user.c,,,,4,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,27,4,23,4,15,0,0,0,6.0,6.0,1.0,15.0,19,2,3,14,5.0,5.0,5.0,5.0,7.0,,,,,7.0,,2,7.0,,0.0,,,,
Yes,d66e6737d454553e1e62109d8298ede5351178a4,Static Function,crypto_user_exit(),crypto\crypto_user.c,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4,0,4,1,1,0,0,0,2.0,1.0,0.0,1.0,1,0,0,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
Yes,d66e6737d454553e1e62109d8298ede5351178a4,Static Function,crypto_user_init(),crypto\crypto_user.c,,,,2,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,12,2,10,4,7,0,0,0,4.0,2.0,0.0,4.0,5,1,0,4,2.0,2.0,2.0,1.0,1.0,,,,,0.0,,1,0.0,,0.0,,,,
Yes,d66e6737d454553e1e62109d8298ede5351178a4,Static Function,"crypto_user_rcv_msg(struct sk_buff *,struct nlmsghdr *)",crypto\crypto_user.c,,,,10,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,47,10,37,11,27,0,0,0,9.0,7.0,1.0,18.0,24,6,0,18,7.0,7.0,8.0,7.0,7.0,,,,,7.0,,2,7.0,,0.0,,,,
Yes,d66e6737d454553e1e62109d8298ede5351178a4,Static Function,"crypto_user_skcipher_alg(const char *,u32,u32)",crypto\crypto_user.c,,,,4,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,25,4,21,4,13,0,0,0,8.0,6.0,1.0,13.0,17,2,3,12,5.0,5.0,5.0,5.0,7.0,,,,,7.0,,2,7.0,,0.0,,,,
Yes,6662df33f85b87bb29f2ecad124efe7bb2c08e05,Function,"crypto_alloc_pcomp(const char *,u32,u32)",crypto\pcompress.c,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5,0,5,2,1,0,0,0,2.0,1.0,0.0,1,1,0,0,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
