Vulnerable,Git Commit Hash,Kind,Name,File,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"nfsd4_read(struct svc_rqst *,struct svc_fh *,struct nfsd4_read *)",nfsd\nfs4proc.c,3,22,2,7,27,3,22,3,15,2,0,0,10,5,1,12,15,1,0,14,4,4,4,1,2,0,1,0,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"nfsd4_readdir(struct svc_rqst *,struct svc_fh *,struct nfsd4_readdir *)",nfsd\nfs4proc.c,5,16,1,8,22,5,16,4,11,1,0,0,4,3,0,9,11,2,0,9,3,3,7,3,2,2,1,2,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"nfsd4_readlink(struct svc_rqst *,struct svc_fh *,struct nfsd4_readlink *)",nfsd\nfs4proc.c,0,7,0,3,7,0,7,2,3,0,0,0,4,1,0,3,3,0,0,3,1,1,1,1,0,0,0,0,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"nfsd4_remove(struct svc_rqst *,struct svc_fh *,struct nfsd4_remove *)",nfsd\nfs4proc.c,1,15,0,7,16,1,15,3,9,0,0,0,5,4,1,7,10,1,0,9,4,4,4,3,2,2,1,2,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"nfsd4_rename(struct svc_rqst *,struct svc_fh *,struct svc_fh *,struct nfsd4_rename *)",nfsd\nfs4proc.c,3,27,2,16,32,3,27,4,21,2,0,0,5,10,1,10,16,1,0,15,7,7,10,3,4,2,1,2,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"nfsd4_restorefh(struct svc_fh *,struct svc_fh *)",nfsd\nfs4proc.c,1,8,0,4,9,1,8,2,4,0,0,0,2,2,0,3,4,0,0,4,2,2,2,1,1,0,1,0,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"nfsd4_savefh(struct svc_fh *,struct svc_fh *)",nfsd\nfs4proc.c,1,8,0,4,9,1,8,2,4,0,0,0,2,2,0,3,4,0,0,4,2,2,2,1,1,0,1,0,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"nfsd4_setattr(struct svc_rqst *,struct svc_fh *,struct nfsd4_setattr *)",nfsd\nfs4proc.c,1,23,0,8,24,1,23,3,17,0,0,0,7,9,1,11,15,1,0,14,5,5,5,4,3,3,2,3,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"nfsd4_verify(struct svc_rqst *,struct svc_fh *,struct nfsd4_verify *)",nfsd\nfs4proc.c,7,39,4,9,50,7,39,5,31,4,0,0,7,21,1,20,29,3,0,26,10,10,13,8,7,7,1,7,0
Yes,af85852de0b32d92b14295aa6f5ba3a9ad044cf6,Static Function,"nfsd4_write(struct svc_rqst *,struct svc_fh *,struct nfsd4_write *)",nfsd\nfs4proc.c,7,33,1,15,41,7,33,6,27,1,0,0,11,11,1,20,25,4,0,21,6,6,6,3,2,2,1,2,0
Yes,6264d69d7df654ca64f625e9409189a0e50734e9,Static Function,kill_suid(struct dentry *),nfsd\vfs.c,1,8,0,4,9,1,8,2,4,0,0,0,4,1,0,5,5,1,0,4,1,1,1,1,0,0,0,0,0
Yes,6264d69d7df654ca64f625e9409189a0e50734e9,Function,nfsd_close(struct file *),nfsd\vfs.c,0,5,0,4,5,0,5,2,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
Yes,6264d69d7df654ca64f625e9409189a0e50734e9,Function,"nfsd_create(struct svc_rqst *,struct svc_fh *,char *,int,struct iattr *,int,dev_t,struct svc_fh *)",nfsd\vfs.c,10,91,21,20,122,10,91,9,74,21,0,0,24,73728,5,48,71,5,0,66,23,18,25,11,35,26,2,26,0
Yes,6264d69d7df654ca64f625e9409189a0e50734e9,Function,"nfsd_cross_mnt(struct svc_rqst *,struct dentry **,struct svc_export **)",nfsd\vfs.c,2,30,1,8,33,2,30,8,22,1,0,0,14,12,1,19,23,5,1,17,5,5,8,1,2,0,2,0,0
